вариант       варп     замер     T_low   ошибка    ResMII   RecMII    T_high   в кор. связ.  
h8+c16x1         8    192.59    128.00   -33.5%     128.0     64.0    130.00      НЕТ TENSOR 
h8+c16x1        12    297.16    192.00   -35.4%     192.0     64.0    196.52      НЕТ TENSOR 
h8+c16x1        16    396.36    256.00   -35.4%     256.0     64.0    258.04      НЕТ TENSOR 
h8+c1x8          4     89.21     64.00   -28.3%      64.0     16.0     78.00      НЕТ TENSOR 
h8+c1x8          8    169.83    128.00   -24.6%     128.0     16.0    157.74      НЕТ TENSOR 
h8+c1x8         12    252.73    192.00   -24.0%     192.0     16.0    195.00      НЕТ TENSOR 
h8+c1x8         16    334.27    256.00   -23.4%     256.0     16.0    197.48      НЕТ TENSOR 
h8+c2            4     83.04     64.00   -22.9%      64.0     16.0     74.00      НЕТ TENSOR 
h8+c2            8    142.09    128.00    -9.9%     128.0     16.0    133.89      НЕТ TENSOR 
h8+c2           12    213.18    192.00    -9.9%     192.0     16.0    195.00      НЕТ TENSOR 
h8+c2           16    296.27    256.00   -13.6%     256.0     16.0    259.85      НЕТ TENSOR 
h8+c24           4    171.03     96.00   -43.9%      64.0     96.0    163.00      НЕТ TENSOR 
h8+c24           8    236.08    128.00   -45.8%     128.0     96.0    171.93      НЕТ TENSOR 
h8+c24          12    405.95    192.00   -52.7%     192.0     96.0    201.00      НЕТ TENSOR 
h8+c24          16    547.70    256.00   -53.3%     256.0     96.0    273.07      НЕТ TENSOR 
h8+c2x4          4     87.04     64.00   -26.5%      64.0     16.0     78.00      НЕТ TENSOR 
h8+c2x4          8    154.84    128.00   -17.3%     128.0     16.0    143.00      НЕТ TENSOR 
h8+c2x4         12    238.49    192.00   -19.5%     192.0     16.0    193.78      НЕТ TENSOR 
h8+c2x4         16    319.67    256.00   -19.9%     256.0     16.0    260.00      НЕТ TENSOR 
h8+c2x8          4     99.04     64.00   -35.4%      64.0     16.0     84.00      НЕТ TENSOR 
h8+c2x8          8    186.75    128.00   -31.5%     128.0     16.0    129.30      НЕТ TENSOR 
h8+c2x8         12    283.32    192.00   -32.2%     192.0     16.0    198.00      НЕТ TENSOR 
h8+c2x8         16    387.63    256.00   -34.0%     256.0     16.0    271.96      НЕТ TENSOR 
h8+c4            4     91.04     64.00   -29.7%      64.0     16.0     81.00      НЕТ TENSOR 
h8+c4            8    146.09    128.00   -12.4%     128.0     16.0    129.96      НЕТ TENSOR 
h8+c4           12    219.17    192.00   -12.4%     192.0     16.0    192.41      НЕТ TENSOR 
h8+c4           16    310.14    256.00   -17.5%     256.0     16.0    260.93      НЕТ TENSOR 
h8+c4x2          4     93.04     64.00   -31.2%      64.0     16.0     84.00      НЕТ TENSOR 
h8+c4x2          8    156.08    128.00   -18.0%     128.0     16.0    149.15      НЕТ TENSOR 
h8+c4x2         12    249.76    192.00   -23.1%     192.0     16.0    193.44      НЕТ TENSOR 
h8+c4x2         16    361.32    256.00   -29.1%     256.0     16.0    264.37      НЕТ TENSOR 
h8+c4x4          4     99.04     64.00   -35.4%      64.0     16.0     90.00      НЕТ TENSOR 
h8+c4x4          8    181.31    128.00   -29.4%     128.0     16.0    128.85      НЕТ TENSOR 
h8+c4x4         12    275.42    192.00   -30.3%     192.0     16.0    195.00      НЕТ TENSOR 
h8+c4x4         16    372.86    256.00   -31.3%     256.0     16.0    262.70      НЕТ TENSOR 
h8+c6            4     99.04     64.00   -35.4%      64.0     24.0     89.00      НЕТ TENSOR 
h8+c6            8    150.10    128.00   -14.7%     128.0     24.0    129.96      НЕТ TENSOR 
